institutionCode;DayEventDate;MonthEventDate;YearEventData;Year_description;occurrenceID;Acronym;Catalogue number;GBIF tax ID;scientificName_accepted;scientificNameAuthorship;taxonID;taxonRank;kingdom;accordingTo_GBIF;scientificName;identificationRemarks;otherCatalogNumber;individualCount;typestatus;sex;locality;Country;geoReferenceRemarks;decimalLatitude;decimalLongitude;eventDate;Reference;Specifications;Other species;disposition;Phylum
Ugent;26;9;1972;unknown;Ugent:UGMD:100011;UGMD;100011;136405052;Diplopeltula pulchra Vincx & Gourbault, 1992;Vincx & Gourbault, 1992;4349054;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Diplopeltula pulchra Vincx & Gourbault, 1992 (Animalia);collection and data is currently is under review;ZIRUG 011;8;Holotype   ;Male;Southern Bight of the North Sea;Belgium;"station M22 (52 ° 36' 30"" N-04 ° 04' 45"" E; 23 m
depth; fine sand);
28 June and 26 September 1972. ";52.608333333;4.079166667;1972-09-26;;"f 1; M22";;in collection;Nematoda
Ugent;28;2;1972;unknown;Ugent:UGMD:100012;UGMD;100012;136405052;Diplopeltula pulchra Vincx & Gourbault, 1992;Vincx & Gourbault, 1992;4349054;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Diplopeltula belgica Vincx & Gourbault, 1992 ;collection and data is currently is under review (Diplopeltula belgica??);ZIRUG 012;5;Holotype   ;Male;Southern Bight of the North Sea, M1323;Belgium;M1323 ;51.543611111;3.350555556;1972-02-28;;"1 m; 1323;";;in collection;Nematoda
Ugent;7;1;1972;unknown;Ugent:UGMD:100013;UGMD;100013;135788538;Diplopeltula striolata Vincx & Gourbault, 1992;Vincx & Gourbault, 1992;4349042;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Diplopeltula striolata Vincx & Gourbault, 1992 (Animalia);collection and data is currently is under review;ZIRUG 013;6;Holotype   ;Male;Southern Bight of the North Sea M8;Belgium;M8;51.473611111;2.55;1972-01-07;;"1 m; M8;";;in collection;Nematoda
Ugent;12;5;1972;unknown;Ugent:UGMD:100014;UGMD;100014;135765273;Diplopeltula curta Vincx, 1992;Vincx, 1992;4349056;SPECIES;Animalia;"Aphia2006/ERMS; WoRMS (Mar 2013)";Diplopeltula curta Vincx, 1992 (Animalia);collection and data is currently is under review;ZIRUG 014;8;Holotype   ;Male;Southern Bight of the North Sea;Belgium;M1127;51.281111111;1.95;1972-05-12;;"1 m; 1127; LICHT BESCHADIGD";;in collection;Nematoda
Ugent;;;;2012;Ugent:UGMD:100015;UGMD;100015;135784172;Diplopeltula nellyae Vincx & Gourbault, 1992;Vincx & Gourbault, 1992;4349045;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Diplopeltula nellyae Vincx & Gourbault, 1992 (Animalia);collection and data is currently is under review;ZIRUG 015;5;  Paratype ;Male; Loyaut6 Basin, New Caledonia;France;only georeferenced to country level;-22.217777778;167.484166667;1985-09-05;;"2 m;CAL 39 (CAL --> Niew Caledonia???)";;in collection;Nematoda
Ugent;;;;2012;Ugent:UGMD:100016;UGMD;100016;135784172;Diplopeltula nellyae Vincx & Gourbault, 1992;Vincx & Gourbault, 1992;4349045;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Diplopeltula nellyae Vincx & Gourbault, 1992 (Animalia);collection and data is currently is under review;ZIRUG 016;4;  Paratype ;Male;Station 86, New Caledonia;France;only georeferenced to country level;-21.016666667;166.952222222;1985-09/06;;"1 m;CAL 50";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100017;UGMD;100017;136407692;Diplopeltula indica Gerlach, 1962;Gerlach, 1962;4349053;SPECIES;Animalia;"Aphia2006/ERMS; WoRMS (Mar 2013)";Diplopeltula indica Gerlach, 1962 (Animalia);collection and data is currently is under review;ZIRUG 017;4;;Male;"La D6sirade, FWI, Anse Petite Rivi6re,
sample 38, littoral, medium sand, 12 December
1982; La Guadeloupe, Grande-Terre, Le Moule,
sample 150, littoral calcareous poorly sorted fine
sand with pebbles;
";Guadeloupe;only georeferenced to country level;16.333055556;;1983-12-11;;"1m; DES 39; Gerlach 1962";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100018;UGMD;100018;136290278;Pseudochromadora incubans Gourbault & Vincx, 1990;Gourbault & Vincx, 1990;4350475;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Pseudochromadora incubans Gourbault & Vincx, 1990 (Animalia);collection and data is currently is under review;ZIRUG 018;;;; Grand Cui-de-Sac marin;Guadeloupe;only georeferenced to country level;16,265;-61,551;;Nemtltologica 36 (1990): 131-143, E. J. Brill, Leiden;Pseudochromadocu incubum?;;missing;
Ugent;;;;unknown;Ugent:UGMD:100019;UGMD;100019;136290278;Pseudochromadora incubans Gourbault & Vincx, 1990;Gourbault & Vincx, 1990;4350475;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Pseudochromadora incubans Gourbault & Vincx, 1990 (Animalia);collection and data is currently is under review;ZIRUG 019;;;; Grand Cui-de-Sac marin;Guadeloupe;only georeferenced to country level;16,265;-61,551;;Nemtltologica 36 (1990): 131-143, E. J. Brill, Leiden;id 18;;missing;
Ugent;;;;unknown;Ugent:UGMD:100020;UGMD;100020;136405808;Croconema otti Gourbault & Vincx, 1990;Gourbault & Vincx, 1990;4350572;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Croconema otti Gourbault & Vincx, 1990 (Animalia);collection and data is currently is under review;ZIRUG 020;;;; Grand Cui-de-Sac marin;Guadeloupe;only georeferenced to country level;16,265;-61,551;;Nemtltologica 36 (1990): 131-143, E. J. Brill, Leiden;Croconema otti;;missing;Nematoda
Ugent;15;12;1981;unknown;Ugent:UGMD:100021;UGMD;100021;136431163;Cucullitylenchus amazonensis Huang & Raski, 1986;Huang & Raski, 1986;7025329;SPECIES;Animalia;Hallan, 2000-;Cucullitylenchus amazonensis Huang & Raski, 1986 (Animalia);collection and data is currently is under review;ZIRUG 021;1;Paratype;;Km 45 Rodovia Manaus-Boas Vista, AM ;Brasil;only georeferenced to country level;-14,235004;-51,92528;1981-12-15;;"1 f gen.n.sp.n.; 1982; C.S. Huang J.E. Cares; VERZEGELEN";;in collection;Nematoda
Ugent;15;12;1981;unknown;Ugent:UGMD:100022;UGMD;100022;136431163;Cucullitylenchus amazonensis Huang & Raski, 1986;Huang & Raski, 1986;7025329;SPECIES;Animalia;Hallan, 2000-;Cucullitylenchus amazonensis Huang & Raski, 1986 (Animalia);collection and data is currently is under review;ZIRUG 022;19;Paratype;;Km 45 Rodovia Manaus-Boas Vista, AM ;Brasil;;-14,235004;-51,92528;1981-12-15;http://horizon.documentation.ird.fr/exl-doc/pleins_textes/pleins_textes_5/pt5/nemato/25468.pdf;"1 f gen.n.sp.n.; 1982; C.S. Huang J.E. Cares";;in collection;Nematoda
Ugent;15;12;1981;unknown;Ugent:UGMD:100023;UGMD;100023;136431163;Cucullitylenchus amazonensis Huang & Raski, 1986;Huang & Raski, 1986;7025329;SPECIES;Animalia;Hallan, 2000-;Cucullitylenchus amazonensis Huang & Raski, 1986 (Animalia);collection and data is currently is under review;ZIRUG 023;2;Paratype;;"Km 45 Rodovia Manaus-Boas Vista, AM Collected by C. S. Huang and J. E. Cares in
December 1981 from the Fruit Tree Experiment
Station, INPA-Institut0 Nacional de Pesquisas de
Amazonas, Km 45, Highway Manaus-Boa Vista, State
of Amazonas, Brazil. ";Brasil;only georeferenced to country level;-14,235004;-51,92528;1981-12-15;;"1 m gen.n.sp.; 1982; C.S. Huang J.E. Cares; VERZEGELEN!";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100024;UGMD;100024;136431163;Cucullitylenchus amazonensis Huang & Raski, 1986;Huang & Raski, 1986;7025329;SPECIES;Animalia;Hallan, 2000-;Cucullitylenchus amazonensis Huang & Raski, 1986 (Animalia);collection and data is currently is under review;ZIRUG 024;4;;;;;only georeferenced to country level;;;;;1 f;;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100025;UGMD;100025;136514450;Xiphinema clavicaudatum Huang, Uesugi & Raski, 1987;Huang, Uesugi & Raski, 1987;7019334;SPECIES;Animalia;Hallan, 2000-;Xiphinema clavicaudatum Huang, Uesugi & Raski, 1987 (Animalia);collection and data is currently is under review;ZIRUG 025;;;;;;only georeferenced to country level;;;;;"Xiphinema clavicaudatum; August Coomans; Crust 03/06/1988 AC";;in collection;
Ugent;;;;unknown;Ugent:UGMD:100026;UGMD;100026;136514450;Xiphinema clavicaudatum Huang, Uesugi & Raski, 1987;Huang, Uesugi & Raski, 1987;7019334;SPECIES;Animalia;Hallan, 2000-;Xiphinema clavicaudatum Huang, Uesugi & Raski, 1987 (Animalia);collection and data is currently is under review;ZIRUG 026;;;;;;only georeferenced to country level;;;;;id 25;;in collection;
Ugent;;;;unknown;Ugent:UGMD:100027;UGMD;100027;136607463;Paralongidorus cebensis Heyns & Coomans, 1989;Heyns & Coomans, 1989;7019081;SPECIES;Animalia;Hallan, 2000-;Paralongidorus cebensis Heyns & Coomans, 1989 (Animalia);collection and data is currently is under review;ZIRUG 027;;  Paratype ;1 female;Eastern Cape;South Africa;only georeferenced to country level;;;;;"Paralongidorus cebensis par f; Decraemer Heyns";;missing;
Ugent;31;7;1986;unknown;Ugent:UGMD:100028;UGMD;100028;136424630;Theristus tessae Heyns & Coomans, 1989;Heyns & Coomans, 1989;7020713;SPECIES;Animalia;Hallan, 2000-;Theristus tessae Heyns & Coomans, 1989 [=> Penzancia tessae (Heyns & Coomans, 1989)] (Animalia);collection and data is currently is under review;ZIRUG 028;1;Holotype   ;1 female;;Namibia;only georeferenced to country level;-22,95764;18,49041;1986-07-31;;Coll L.J. Jacobs;;in collection;Nematoda
Ugent;31;7;1986;unknown;Ugent:UGMD:100029;UGMD;100029;143109595;Chronogaster;;2283256;GENUS;Animalia;;Chronogaster (Animalia);collection and data is currently is under review;ZIRUG 029;5;;;;;only georeferenced to country level;;;1986-07-31;;"4 f; Coll L.J. Jacobs";Theristus tessae par.m;in collection;Nematoda
Ugent;31;7;1986;unknown;Ugent:UGMD:100030;UGMD;100030;136424630;Theristus tessae Heyns & Coomans, 1989;Heyns & Coomans, 1989;7020713;SPECIES;Animalia;Hallan, 2000-;Theristus tessae Heyns & Coomans, 1989 [=> Penzancia tessae (Heyns & Coomans, 1989)] (Animalia);collection and data is currently is under review;ZIRUG 030;1;  Paratype ;1 female;;Namibia;only georeferenced to country level;-22,95764;18,49041;1986-07-31;;Coll L.J. Jacobs;;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100031;UGMD;100031;136424630;Theristus tessae Heyns & Coomans, 1989;Heyns & Coomans, 1989;7020713;SPECIES;Animalia;Hallan, 2000-;Theristus tessae Heyns & Coomans, 1989 [=> Penzancia tessae (Heyns & Coomans, 1989)] (Animalia);collection and data is currently is under review;ZIRUG 031;1;  Paratype ;1 female;Fish River;Namibia;only georeferenced to country level;-22,95764;18,49041;;;;;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100032;UGMD;100032;136512701;Belondira tumicauda Coomans & Baqri, 1972;Coomans & Baqri, 1972;7019696;SPECIES;Animalia;Hallan, 2000-;Belondira tumicauda Coomans & Baqri, 1972 (Animalia);collection and data is currently is under review;ZIRUG 032;4 of 6;Holotype Paratype ;1 female, 1 juvenile;;Congo;only georeferenced to country level;-0,228021;15,827659;;;;;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100033;UGMD;100033;141497588;Discolaimus;;2282615;GENUS;Animalia;;Discolaimus (Animalia);collection and data is currently is under review;ZIRUG 033;;;;;;only georeferenced to country level;;;;;"Discolai; BC 86;";;missing;
Ugent;;;;unknown;Ugent:UGMD:100034;UGMD;100034;136432725;Xiphinema basilgoodeyi Coomans, 1965;Coomans, 1965;4554499;SPECIES;Animalia;Hallan, 2000-;Xiphinema basilgoodeyi Coomans, 1965 (Animalia);collection and data is currently is under review;ZIRUG 034;7;Holotype Paratype ;2 females;roots of Coffea arabica L. in Congo;Democratic Republic of the Congo;only georeferenced to country level;;;;Nematologica 10(4):581-593;"2L2, 1L4; BCN 90; Nicka monster 1";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100035;UGMD;100035;141497588;Discolaimus;;2282615;GENUS;Animalia;;Discolaimus (Animalia);collection and data is currently is under review;ZIRUG 035;;;;;;only georeferenced to country level;;;;;"Discola; BC 91";;missing;
Ugent;;;;unknown;Ugent:UGMD:100036;UGMD;100036;136434066;Oncholaimus deconincki Heyns & Coomans, 1977;Heyns & Coomans, 1977;7015154;SPECIES;Animalia;Hallan, 2000-;Oncholaimus deconincki Heyns & Coomans, 1977 (Animalia);collection and data is currently is under review;ZIRUG 036;;;;;;only georeferenced to country level;;;;;Oncholaimu deconinck;;missing;
Ugent;;;;unknown;Ugent:UGMD:100037;UGMD;100037;136434066;Oncholaimus deconincki Heyns & Coomans, 1977;Heyns & Coomans, 1977;7015154;SPECIES;Animalia;Hallan, 2000-;Oncholaimus deconincki Heyns & Coomans, 1977 (Animalia);collection and data is currently is under review;ZIRUG 037;;;;;;only georeferenced to country level;;;;;Oncholaimu deconinck;;missing;
Ugent;;;;unknown;Ugent:UGMD:100038;UGMD;100038;136405808;Croconema otti Gourbault & Vincx, 1990;Gourbault & Vincx, 1990;4350572;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Croconema otti Gourbault & Vincx, 1990 (Animalia);collection and data is currently is under review;ZIRUG 038;;;;;;only georeferenced to country level;;;;;Croconema otti;;missing;
Ugent;;;;unknown;Ugent:UGMD:100039;UGMD;100039;;;;;;;;Perspiria megamphidia;collection and data is currently is under review;ZIRUG 039;3;;;;;only georeferenced to country level;;;;;;;in collection;
Ugent;;;;unknown;Ugent:UGMD:100040;UGMD;100040;135856386;Perspiria papillata Vincx & Gourbault, 1989;Vincx & Gourbault, 1989;4348275;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Perspiria papillata Vincx & Gourbault, 1989 (Animalia);collection and data is currently is under review;ZIRUG 040;5;;;;;only georeferenced to country level;;;;;"2 juv?; 1m; verborgen onder nagellak; R7p33";;in collection;
Ugent;20;11;1973;unknown;Ugent:UGMD:100041;UGMD;100041;136431703;Meloinema kerongense Choi & Geraert, 1974;Choi & Geraert, 1974;7024756;SPECIES;Animalia;Hallan, 2000-;Meloinema kerongense Choi & Geraert, 1974 (Animalia);collection and data is currently is under review;ZIRUG 041;2;;;Broadleaf Lilac, Kerong Mt ;Korea;only georeferenced to country level;37,6639976;127,9784585;1973-11-20;;swollen parts of 2 females;;in collection;Nematoda
Ugent;20;11;1973;unknown;Ugent:UGMD:100042;UGMD;100042;136431703;Meloinema kerongense Choi & Geraert, 1974;Choi & Geraert, 1974;7024756;SPECIES;Animalia;Hallan, 2000-;Meloinema kerongense Choi & Geraert, 1974 (Animalia);collection and data is currently is under review;ZIRUG 042;1;;;Broadleaf Lilac, Kerong Mt ;Korea;only georeferenced to country level;37,6639976;127,9784585;1973-11-20;;1 female;;in collection;Nematoda
Ugent;20;11;1973;unknown;Ugent:UGMD:100043;UGMD;100043;136431703;Meloinema kerongense Choi & Geraert, 1974;Choi & Geraert, 1974;7024756;SPECIES;Animalia;Hallan, 2000-;Meloinema kerongense Choi & Geraert, 1974 (Animalia);collection and data is currently is under review;ZIRUG 043;1;;;Broadleaf Lilac, Kerong Mt ;Korea;only georeferenced to country level;37,6639976;127,9784585;1973-11-20;;1 female head part;;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100044;UGMD;100044;136619034;Discocriconemella limitanea Luc, 1959;Luc, 1959;7022492;SPECIES;Animalia;Hallan, 2000-;Discocriconemella limitanea Luc, 1959 (Animalia);collection and data is currently is under review;ZIRUG 044;4;;;Pasoh Forest, Negeri Sembilan ;Malaysia;only georeferenced to country level;4,210484;101,975766;;;"8/1973; 4 male";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100045;UGMD;100045;136619034;Discocriconemella limitanea Luc, 1959;Luc, 1959;7022492;SPECIES;Animalia;Hallan, 2000-;Discocriconemella limitanea Luc, 1959 (Animalia);collection and data is currently is under review;ZIRUG 045;13;;;Pasoh Forest, Negeri Sembilan ;Malaysia;only georeferenced to country level;4,210484;101,975766;;;"8/1973; 13 female";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100046;UGMD;100046;136430285;Discocriconemella macramphidia De Grisse, 1967;De Grisse, 1967;7022507;SPECIES;Animalia;Hallan, 2000-;Discocriconemella macramphidia De Grisse, 1967 (Animalia);collection and data is currently is under review;ZIRUG 046;;;;Pasoh Forest, Negeri Sembilan ;Malaysia;only georeferenced to country level;4,210484;101,975766;;;"8/1973; 468B2; geen specimen te vinden (2 male)";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100047;UGMD;100047;136430285;Discocriconemella macramphidia De Grisse, 1967;De Grisse, 1967;7022507;SPECIES;Animalia;Hallan, 2000-;Discocriconemella macramphidia De Grisse, 1967 (Animalia);collection and data is currently is under review;ZIRUG 047;9;;;Pasoh Forest, Negeri Sembilan ;Malaysia;only georeferenced to country level;4,210484;101,975766;;;"8/1973; 9 female";;in collection;Nematoda
Ugent;8;8;1973;unknown;Ugent:UGMD:100048;UGMD;100048;7022500;"Discocriconemella pannosa Sauer & Winoto, 1975;";Sauer & Winoto, 1975;7022500;SPECIES;Animalia;Interim Register of Marine and Nonmarine Genera;Discocriconemella pannosa (Animalia);collection and data is currently is under review;ZIRUG 048;5;  Paratype ;5 females;;Malaysia;only georeferenced to country level;4,210484;101,975766;1973-08-08;;;;in collection;Nematoda
Ugent;8;8;1973;unknown;Ugent:UGMD:100049;UGMD;100049;136512724;Helicotylenchus paracanalis Sauer & Winoto, 1975;Sauer & Winoto, 1975;7021297;SPECIES;Animalia;Hallan, 2000-;Helicotylenchus paracanalis Sauer & Winoto, 1975 (Animalia);collection and data is currently is under review;ZIRUG 049;4;;;Pasoh Forest, Negeri Sembilan ;Malaysia;only georeferenced to country level;4,210484;101,975766;1973-08-08;;4 female;;in collection;Nematoda
Ugent;8;8;1973;unknown;Ugent:UGMD:100050;UGMD;100050;;;;;;;;Helicotylenchus pasoni;collection and data is currently is under review;ZIRUG 050;4;  Paratype ;4 females;;Malaysia;only georeferenced to country level;4,210484;101,975766;1973-08-08;;;;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100051;UGMD;100051;136407026;Desmodora granulata Vincx & Gourbault, 1989;Vincx & Gourbault, 1989;4348194;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Desmodora granulata Vincx & Gourbault, 1989 (Animalia);collection and data is currently is under review;ZIRUG 051;2;;;;;only georeferenced to country level;;;;;1 male, R7P, V&G;;in collection;Nematoda
Ugent;17;8;1970;unknown;Ugent:UGMD:100052;UGMD;100052;136429424;Hemicycliophora koreana Choi & Geraert, 1971;Choi & Geraert, 1971;7023091;SPECIES;Animalia;Hallan, 2000-;Hemicycliophora koreana Choi & Geraert, 1971 (Animalia);collection and data is currently is under review;ZIRUG 052;4;;;"Pine tree; Pohang ";Korea;only georeferenced to country level;37,6639976;127,9784585;1970-08-17;;4 female;;in collection;Nematoda
Ugent;17;8;1970;unknown;Ugent:UGMD:100053;UGMD;100053;136429424;Hemicycliophora koreana Choi & Geraert, 1971;Choi & Geraert, 1971;7023091;SPECIES;Animalia;Hallan, 2000-;Hemicycliophora koreana Choi & Geraert, 1971 (Animalia);collection and data is currently is under review;ZIRUG 053;1;;;"Pine tree; Pohang ";Korea;only georeferenced to country level;37,6639976;127,9784585;1970-08-17;;1 male;;in collection;Nematoda
Ugent;17;8;1970;unknown;Ugent:UGMD:100054;UGMD;100054;;;;;;;;Hemicycliophora juglansis;collection and data is currently is under review;ZIRUG 054;7;;;Walnut Young Duk ;Korea;only georeferenced to country level;37,6639976;127,9784585;1970-08-17;;"5 female; 2 juv. VROEGER 55";;in collection;Nematoda
Ugent;8;8;1973;unknown;Ugent:UGMD:100055;UGMD;100055;7022484;"Discocriconemella retroversa Sauer & Winoto, 1975;";Sauer & Winoto, 1975;7022484;SPECIES;Animalia;Interim Register of Marine and Nonmarine Genera;Discocriconemella retroversa (Animalia);collection and data is currently is under review;ZIRUG 055;8;  Paratype ;8 females;;Malaysia;only georeferenced to country level;4,210484;101,975766;1973-08-08;;VROEGER 56;;in collection;Nematoda
Ugent;8;8;1973;unknown;Ugent:UGMD:100056;UGMD;100056;7022484;"Discocriconemella retroversa Sauer & Winoto, 1975;";;7022484;SPECIES;Animalia;Interim Register of Marine and Nonmarine Genera;Discocriconemella retroversa (Animalia);collection and data is currently is under review;ZIRUG 056;6;  Paratype ;6 females;;Malaysia;only georeferenced to country level;4,210484;101,975766;1973-08-08;;"460d; VROEGER 0057";;in collection;Nematoda
